,CD3_CD28,K_mM,IFNg+IL2+ Mean,IFNg+IL2+ SEM
0,0.035,0,4.07,0.42
1,0.035,20,0.92,0.09
2,0.035,30,0.26,0.06
3,0.035,40,0.06,0.01
4,0.075,0,10.87,0.39
5,0.075,20,2.55,0.08
6,0.075,30,0.40,0.01
7,0.075,40,0.07,0.01
8,0.15,0,16.63,0.26
9,0.15,20,4.53,0.24
10,0.15,30,0.85,0.08
11,0.15,40,0.20,0.07
12,0.3,0,21.20,0.70
13,0.3,20,5.77,0.45
14,0.3,30,1.40,0.18
15,0.3,40,0.38,0.10
16,0.6,0,19.47,0.67
17,0.6,20,7.46,0.49
18,0.6,30,1.93,0.09
19,0.6,40,0.18,0.04
20,1.25,0,21.60,0.42
21,1.25,20,10.87,0.29
22,1.25,30,2.95,0.33
23,1.25,40,0.67,0.13
24,2.5,0,21.17,0.56
25,2.5,20,12.30,0.85
26,2.5,30,3.97,0.04
27,2.5,40,1.24,0.20
28,5,0,24.07,1.64
29,5,20,15.17,0.82
30,5,30,5.11,0.34
31,5,40,1.63,0.13
